mid_decile,spread_cents,n,avg_bid_size,avg_ask_size
7,21,6,93.5,2.6733333333333333
7,22,10,1099.0,5000.0
7,23,3,401.0,525.6666666666666
7,25,5,1486.4,1049.9180000000001
7,27,2,57.5,24.285
7,28,1,25.0,20.0
7,29,7,4287.571428571428,11.222857142857142
7,31,2,145.0,43.78
7,32,1,156.0,240.0
7,33,1,278.0,208.0
7,35,4,126.25,21.0325
7,38,3,3.046666666666667,29.333333333333332
7,39,28,1161.8214285714287,95.78571428571429
7,40,73,102.08219178082192,85.01369863013699
7,41,128,1322.9765625,1.430234375
7,42,3,673.3333333333334,85.33333333333333
7,43,4,108.75,11.0
7,44,195,85.67179487179487,1940.179487179487
7,45,131,11.98473282442748,39.778625954198475
7,46,27,280.9259259259259,78.74037037037036
7,47,1,2.0,249.0
7,48,2,179.5,4650.0
7,49,20,286.4,39.5
7,50,1,2079.0,20.0
7,51,96,296.8958333333333,42.708333333333336
7,52,2,80.0,119.5
7,53,11,34.915454545454544,81.37818181818183
7,54,1,2000.0,1500.0
7,55,1,2.0,5000.0
7,56,3,145.33333333333334,3344.933333333333
7,57,1,38.0,5000.0
8,1,81769,2163.6060916728834,2335.39851276156
8,2,45402,1808.1222587110701,2289.061317563103
8,3,25597,1620.1075215845606,2005.1240957924756
8,4,9507,1187.7886083938151,1383.896775007889
8,5,4574,757.0604350677744,998.480695233931
8,6,3464,305.33090069284066,512.8381091224019
8,7,5057,603.7200257069409,858.5238006723355
8,8,4910,878.3095417515274,1550.82833401222
8,9,5419,2186.042255028603,2734.0083078058683
8,10,2901,1463.836480523957,2449.7277214753535
8,11,1139,1122.1655487269536,2412.4996400351183
8,12,268,2333.4067164179105,4360.226119402985
8,13,152,1416.6464473684211,1464.4144736842106
8,14,401,23.503740648379054,39.879077306733166
8,15,8,639.125,1054.875
8,16,4,1293.5,540.4025
8,17,69,14.115942028985508,31.499855072463767
8,18,4,1462.25,80.5
8,19,148,79.35135135135135,34.693851351351356
8,20,257,54.19455252918288,663.7937743190662
8,21,5,1061.2,1060.866
8,22,3,111.0,19.69666666666667
8,23,7,103.14285714285714,107.44714285714285
8,24,362,2.0386740331491713,12.29668508287293
8,25,6,24.666666666666668,280.4866666666667
8,26,8,26.5,22.25
8,27,1,28.0,72.0
8,28,130,168.66307692307691,11.069230769230769
8,30,4,39.75,27.75
8,31,4,80.25,579.0
8,32,83,1.2409638554216869,62.96313253012049
8,36,2,1.0,26.145
8,38,2,10.5,17.455
9,1,297292,2267.5087970749296,1773.9307973642076
9,2,151369,2249.6287089826847,2888.281995851198
9,3,65376,2144.9913572258934,3282.6887683553596
9,4,19401,2797.753624555435,3502.4380939126845
9,5,6668,992.5999475104979,2620.795725854829
9,6,8096,344.27288784584977,3072.213600543478
9,7,8040,1337.713434079602,2959.5146417910446
9,8,7122,734.2479078910418,3768.524559112609
9,9,2786,1486.622566403446,4337.113316582914
9,10,2291,951.8131820165867,3829.0711130510695
9,11,1293,406.829682907966,4947.535522041763
9,12,118,4874.932203389831,4878.539237288136
9,13,8,627.375,93.59
9,14,1,240.0,2.0
9,15,1,50.0,555.0
9,16,1,50.0,28.0
9,17,5,30.4,27.2
9,18,9,2.6666666666666665,71.76
